user,total_sessions,avg_click_per_sesssion,flights_booked_success,hotels_booked_success,cancellations_count,trip_touched,avg_flight_discount_amount,avg_hotel_discount_amount,avg_flight_base_fare_usd,avg_hotel_price_per_room_night_usd,avg_hotel_night,distinct_airlines_used,birthdate,gender,is_married,has_children,home_country,home_city,home_airport,home_airport_lat,home_airport_lon,sign_up_date,age_years,tenure_days,conversion_rate_per_session,cancellation_rate_on_bookings,preferred_airline,preferred_destination,avg_session_duration_min,sessions_per_month,avg_trip_length_days,return_flight_ratio,avg_checked_bags,avg_seats,avg_rooms_per_booking,hotel_booking_ratio,avg_checkin_gap_days,promo_responsiveness,loyalty_index,is_high_canceller,is_multi_booker,is_family_traveler
204943,8,36.5,6,6,1,7,0.15,,473.5283333333333,175.83333333333334,5.166666666666667,6,1982-12-20,M,False,False,canada,ottawa,YOW,45.323,-75.669,2022-06-06,42,1217,1.5,0.08333333333333333,American Airlines,LGA,17.391666666666666,1.1428571428571428,6.666666666666667,1.0,1.3333333333333333,1.5,1.5,0.8571428571428571,40.17799427083333,0.08333333333333333,1.7142857142857142,,True,
204997,8,54.875,3,2,2,5,0.25,0.1,323.91,77.0,3.0,2,1985-08-26,F,True,False,usa,kansas city,MCI,39.297,-94.714,2022-06-06,40,1217,0.625,0.4,JetBlue Airways,CLT,23.319632504166666,1.1428571428571428,6.0,1.0,0.3333333333333333,1.3333333333333333,1.5,0.4,9.508438194444444,0.4,1.0,True,True,True
205044,9,14.88888888888889,3,3,0,3,0.05,,916.1166666666667,249.33333333333334,4.666666666666667,3,1983-08-25,F,True,True,canada,toronto,YKZ,43.862,-79.37,2022-06-06,42,1217,0.6666666666666666,0.0,American Airlines,LAX,1.8388888888888888,1.5,5.666666666666667,1.0,0.3333333333333333,2.0,2.0,1.0,6.875341782407407,0.16666666666666666,2.0,,True,True
206011,8,19.5,4,3,0,4,0.05,0.2,261.6475,113.33333333333333,2.6666666666666665,4,1984-08-04,F,False,True,usa,kansas city,MCI,39.297,-94.714,2022-06-07,41,1216,0.875,0.0,American Airlines,IND,2.435416666666667,1.1428571428571428,3.25,1.0,0.25,1.0,1.0,0.75,5.5257696180555556,0.14285714285714285,1.75,,True,True
216796,8,15.625,1,1,1,2,0.16666666666666666,0.1,2500.87,241.0,10.0,1,2001-07-09,F,False,False,usa,cincinnati,CVG,39.046,-84.662,2022-06-16,24,1207,0.25,0.5,Ryanair,BCN,8.188807366666667,2.6666666666666665,11.0,1.0,2.0,2.0,1.0,0.5,196.59174375,0.5,1.0,True,,
217114,9,6.555555555555555,0,0,0,0,0.05,0.15,,,,0,2004-05-28,O,True,True,usa,long beach,LGB,33.818,-118.151,2022-06-17,21,1206,0.0,,,,0.8314814814814815,1.5,,,,,,,,,,,,True
217136,8,13.25,1,2,0,2,0.175,,539.57,236.5,2.0,1,1985-04-18,F,False,True,usa,little rock,LIT,34.729,-92.224,2022-06-17,40,1206,0.375,0.0,Kenmore Air,BFI,1.65625,1.6,3.0,1.0,0.0,1.0,1.0,1.0,6.293767013888889,0.0,1.5,,True,True
220725,9,35.111111111111114,4,3,1,5,0.15,0.05,494.5425,130.0,3.6666666666666665,4,1983-07-28,F,False,False,usa,stockton,SCK,37.894,-121.239,2022-06-20,42,1203,0.7777777777777778,0.14285714285714285,Air France,SAT,15.814814814814815,1.5,5.75,1.0,0.25,1.0,1.0,0.6,6.686643171296296,0.0,1.4,,True,
224996,8,12.75,2,1,0,2,,0.1,448.805,231.0,0.0,2,1981-03-07,F,False,True,canada,halifax,YHZ,44.881,-63.509,2022-06-23,44,1200,0.375,0.0,Air Canada,JFK,1.5770833333333334,2.0,2.5,1.0,0.0,1.0,1.0,0.5,8.852130729166667,0.0,1.5,,True,True
226367,8,14.25,3,3,0,3,0.05,,296.4033333333333,253.0,1.6666666666666667,3,1980-10-21,F,False,False,usa,washington,IAD,38.944,-77.456,2022-06-25,44,1198,0.75,0.0,Air Canada,JFK,1.7583333333333333,1.3333333333333333,3.0,1.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.0,7.602444502314815,0.16666666666666666,2.0,,True,
228195,9,12.88888888888889,0,0,0,0,0.2,,,,,0,1997-02-26,F,False,True,usa,los angeles,LAX,33.942,-118.408,2022-06-26,28,1197,0.0,,,,1.5962962962962963,1.5,,,,,,,,,,,,True
228872,8,15.75,1,2,0,2,0.35,,509.21,94.0,6.5,1,1989-03-22,M,False,False,usa,san antonio,RND,29.529,-98.279,2022-06-27,36,1196,0.375,0.0,American Airlines,PDX,1.9666666666666668,1.1428571428571428,6.0,1.0,1.0,1.0,1.0,1.0,6.3978355902777775,0.0,1.5,,True,
229009,8,18.0,3,2,1,4,,,928.42,149.5,1.5,3,2006-08-27,F,False,False,usa,stockton,SCK,37.894,-121.239,2022-06-27,19,1196,0.625,0.2,American Airlines,TSA,4.4130904875,1.3333333333333333,7.0,1.0,0.3333333333333333,1.0,1.0,0.5,9.297725868055556,0.0,1.25,,True,
229108,8,40.125,1,0,1,2,0.2,0.1,438.61,,,1,1998-05-28,F,False,False,usa,burlington,BTV,44.472,-73.153,2022-06-27,27,1196,0.125,1.0,KLM Royal Dutch Airlines,AUS,16.870833333333334,1.6,7.0,1.0,0.0,1.0,,0.0,,0.0,0.5,True,,
229330,8,16.125,4,4,0,4,,0.1,387.0275,209.25,1.5,4,1976-11-08,F,True,False,usa,colorado springs,COS,38.806,-104.7,2022-06-27,48,1196,1.0,0.0,American Airlines,FTW,1.99375,1.1428571428571428,3.5,1.0,0.25,1.75,1.75,1.0,8.082349869791667,0.0,2.0,,True,True
232647,8,12.5,1,1,0,2,0.1,,237.1,213.0,11.0,1,2006-04-11,F,False,False,usa,birmingham,BHM,33.563,-86.753,2022-06-30,19,1193,0.25,0.0,Southwest Airlines,LGA,1.5645833333333334,1.3333333333333333,3.0,1.0,1.0,1.0,1.0,0.5,2.188888888888889,0.0,1.0,,,
249521,8,18.875,1,2,0,2,0.2,0.13333333333333333,642.02,141.5,1.5,1,1964-07-23,F,True,True,canada,ottawa,YOW,45.323,-75.669,2022-07-15,61,1178,0.375,0.0,Air Canada,YVR,2.34375,1.3333333333333333,3.0,1.0,1.0,1.0,1.0,1.0,7.876869791666667,0.3333333333333333,1.5,,True,True
252835,8,14.625,5,4,0,5,0.3,0.05,335.31,132.75,2.75,4,1986-01-20,F,False,True,usa,chicago,ORD,41.979,-87.904,2022-07-18,39,1175,1.125,0.0,American Airlines,PHX,1.8041666666666667,1.1428571428571428,4.2,1.0,0.6,1.0,1.0,0.8,8.567209505208334,0.1111111111111111,1.8,,True,True
258451,8,20.875,0,1,1,2,0.15,,,178.0,13.0,0,2000-12-10,F,False,False,usa,miami,OPF,25.907,-80.278,2022-07-22,24,1171,0.125,1.0,,,3.6645833333333333,1.6,,,,,1.0,0.5,7.813888888888889,0.0,0.5,True,,
264470,8,14.75,2,2,0,2,0.05,0.1,436.51,200.0,4.5,2,1978-11-05,F,False,True,usa,bakersfield,BFL,35.433,-119.057,2022-07-27,46,1166,0.5,0.0,Delta Air Lines,LGA,1.85,1.3333333333333333,5.5,1.0,0.5,1.0,1.0,1.0,8.761032638888889,0.25,2.0,,True,True
276512,8,12.25,1,1,0,1,0.125,0.125,395.69,100.0,1.0,1,1982-08-27,F,True,True,usa,austin,AUS,30.194,-97.67,2022-08-06,43,1156,0.25,0.0,United Airlines,PNE,1.5229166666666667,1.6,3.0,1.0,1.0,1.0,1.0,1.0,10.398219618055556,0.0,2.0,,,True
281952,8,19.75,2,2,0,2,,0.15,342.36,131.5,1.0,2,1987-01-23,F,False,False,usa,louisville,LOU,38.228,-85.664,2022-08-11,38,1151,0.5,0.0,Delta Air Lines,LGA,2.439583333333333,1.1428571428571428,2.0,1.0,1.5,1.0,1.0,1.0,7.849566753472223,0.25,2.0,,True,
283325,8,14.25,1,2,0,2,0.075,0.1,453.27,360.5,3.0,1,1973-05-15,F,True,False,usa,dallas,DAL,32.847,-96.852,2022-08-12,52,1150,0.375,0.0,Air Canada,YQB,1.7604166666666667,1.3333333333333333,6.0,1.0,0.0,1.0,1.5,1.0,9.16207717013889,0.3333333333333333,1.5,,True,True
290123,9,21.11111111111111,7,6,0,7,,,685.1585714285715,240.0,2.1666666666666665,6,1983-04-08,F,True,False,usa,houston,HOU,29.645,-95.279,2022-08-18,42,1144,1.4444444444444444,0.0,United Airlines,DEN,2.598148148148148,1.2857142857142858,2.6666666666666665,0.8571428571428571,0.8571428571428571,1.5714285714285714,1.6666666666666667,0.8571428571428571,6.54799056712963,0.0,1.8571428571428572,,True,True
297546,8,25.875,4,5,0,5,,0.05,415.18,106.0,5.2,2,1972-12-05,F,True,False,usa,new york,JFK,40.64,-73.779,2022-08-24,52,1138,1.125,0.0,Southwest Airlines,BNA,3.214583333333333,1.1428571428571428,4.75,1.0,0.75,1.5,1.4,1.0,6.917002743055556,0.1111111111111111,1.8,,True,True
298253,8,12.25,1,0,0,1,0.225,0.15,712.42,,,1,1977-08-01,F,True,True,usa,los angeles,LAX,33.942,-118.408,2022-08-24,48,1138,0.125,0.0,Allegiant Air,JFK,1.5291666666666668,1.3333333333333333,2.0,1.0,2.0,1.0,,0.0,,0.0,1.0,,,True
299476,9,20.77777777777778,1,1,0,1,0.2,0.125,192.38,71.0,1.0,1,1985-05-19,F,True,False,usa,atlanta,ATL,33.64,-84.427,2022-08-25,40,1137,0.2222222222222222,0.0,AirTran Airways,HOU,2.5685185185185184,1.2857142857142858,3.0,1.0,0.0,1.0,1.0,1.0,8.014058333333333,0.0,2.0,,,True
306165,8,11.125,0,0,0,0,,,,,,0,2003-04-13,F,False,False,usa,cleveland,CLE,41.412,-81.85,2022-08-31,22,1131,0.0,,,,1.375,1.1428571428571428,,,,,,,,,,,,
306819,8,41.125,2,2,1,3,0.05,0.05,80.08,316.5,1.0,2,1964-04-02,F,True,True,usa,new york,JFK,40.64,-73.779,2022-09-01,61,1130,0.5,0.25,Delta Air Lines,YHM,17.697916666666668,1.1428571428571428,2.5,1.0,0.5,1.0,1.0,0.6666666666666666,7.094373350694444,0.0,1.3333333333333333,,True,True
312488,8,9.5,1,1,0,1,0.25,0.2,407.1,299.0,0.0,1,1993-06-27,M,True,False,usa,new york,JFK,40.64,-73.779,2022-09-05,32,1126,0.25,0.0,United Airlines,FTW,1.1833333333333333,1.1428571428571428,1.0,1.0,1.0,1.0,1.0,1.0,6.564520486111111,0.0,2.0,,,True
313724,8,43.875,4,5,1,6,,,383.5175,182.4,3.2,4,1972-05-13,F,False,False,usa,tulsa,TUL,36.198,-95.888,2022-09-06,53,1125,1.125,0.1111111111111111,Air Canada,LSQ,18.50625,1.1428571428571428,3.5,1.0,0.75,1.25,1.4,0.8333333333333334,11.425922256944444,0.0,1.5,,True,
316527,8,17.375,4,4,0,4,0.15,0.05,434.9725,322.75,3.0,4,1982-07-17,F,True,True,canada,winnipeg,YWG,49.91,-97.234,2022-09-08,43,1123,1.0,0.0,Air Canada,IAD,2.1666666666666665,1.1428571428571428,4.25,1.0,0.25,1.25,1.25,1.0,8.028548871527779,0.125,2.0,,True,True
317688,8,16.625,4,4,0,4,0.24999999999999994,0.05,309.685,168.25,1.25,3,1983-05-19,F,False,True,usa,indianapolis,IND,39.717,-86.294,2022-09-09,42,1122,1.0,0.0,United Airlines,FTW,2.066666666666667,1.1428571428571428,2.75,1.0,0.5,1.0,1.0,1.0,8.901479557291667,0.125,2.0,,True,True
322867,8,10.25,1,1,0,1,0.125,0.1,173.04,189.0,7.0,1,1977-12-07,F,False,False,usa,mobile,BFM,30.626,-88.068,2022-09-14,47,1117,0.25,0.0,American Airlines,AUS,1.2833333333333332,1.1428571428571428,8.0,1.0,1.0,1.0,1.0,1.0,6.9660649305555555,0.0,2.0,,,
324191,8,10.75,2,2,0,2,0.1,0.15,49.87,273.5,4.5,2,1984-05-27,F,False,False,usa,san diego,SAN,32.733,-117.189,2022-09-15,41,1116,0.5,0.0,AirTran Airways,LAX,1.3354166666666667,1.6,6.0,1.0,0.5,1.5,1.5,1.0,10.26366857638889,0.0,2.0,,True,
328590,8,47.875,3,2,1,4,0.1,0.15,976.76,155.0,4.5,3,1968-07-23,F,False,False,usa,san diego,NZY,32.699,-117.215,2022-09-18,57,1113,0.625,0.2,American Airlines,LGA,18.091666666666665,1.1428571428571428,4.666666666666667,1.0,0.3333333333333333,1.6666666666666667,2.0,0.5,8.772011458333333,0.2,1.25,,True,
330764,8,46.875,1,2,1,4,,0.05,375.52,129.5,4.5,1,1985-02-06,F,False,False,usa,detroit,DET,42.409,-83.01,2022-09-20,40,1111,0.375,0.3333333333333333,WestJet,YOW,17.685416666666665,1.3333333333333333,1.0,1.0,1.0,3.0,1.0,0.5,6.19375,0.0,0.75,True,True,
330893,8,16.625,3,3,0,3,,0.05,287.2033333333333,138.0,2.0,3,1980-12-16,F,True,True,usa,oklahoma city,OKC,35.393,-97.601,2022-09-20,44,1111,0.75,0.0,Delta Air Lines,IAH,2.066666666666667,1.3333333333333333,3.3333333333333335,1.0,0.6666666666666666,1.0,1.0,1.0,6.079196585648148,0.0,2.0,,True,True
331039,8,24.75,1,1,1,2,0.1,0.075,2290.87,209.0,8.0,1,1979-08-02,F,True,True,canada,london,YXU,43.036,-81.154,2022-09-20,46,1111,0.25,0.5,American Airlines,LAX,10.167420216666667,2.0,10.0,1.0,3.0,4.0,2.0,0.5,252.7551371527778,0.5,1.0,True,,True
334787,8,14.875,3,3,0,3,0.05,,252.72333333333333,169.0,2.0,3,1971-04-27,F,False,False,usa,minneapolis,MSP,44.88,-93.217,2022-09-23,54,1108,0.75,0.0,Air Canada,BOS,1.8479166666666667,1.1428571428571428,3.0,1.0,0.6666666666666666,1.0,1.0,1.0,5.803432696759259,0.16666666666666666,2.0,,True,
337227,8,10.375,0,0,0,0,,0.05,,,,0,1989-06-25,F,True,False,usa,santa ana,SNA,33.676,-117.868,2022-09-25,36,1106,0.0,,,,1.2833333333333334,2.0,,,,,,,,,,,,True
338086,8,17.125,2,2,0,2,0.3,0.2,490.845,63.0,1.0,2,1983-12-13,F,False,True,usa,washington,IAD,38.944,-77.456,2022-09-25,41,1106,0.5,0.0,AirTran Airways,DAL,2.1416666666666666,1.3333333333333333,2.5,1.0,0.5,1.0,1.0,1.0,7.556198350694444,0.25,2.0,,True,True
340166,8,11.0,0,1,0,1,0.1,0.1,,237.0,2.0,0,1973-05-17,M,True,True,usa,san francisco,SFO,37.619,-122.375,2022-09-27,52,1104,0.125,0.0,,,1.3604166666666666,1.3333333333333333,,,,,1.0,1.0,3.060416666666667,0.0,1.0,,,True
343928,8,15.25,2,1,0,2,0.29999999999999993,0.1,2775.31,116.0,3.0,2,1959-01-26,F,True,False,usa,el paso,BIF,31.849,-106.38,2022-09-30,66,1101,0.375,0.0,Jetstar Pacific,SGN,1.8791666666666667,1.1428571428571428,8.0,1.0,0.5,1.5,1.0,0.5,5.308716145833333,0.3333333333333333,1.5,,True,True
347778,9,18.0,5,4,0,5,0.15,,846.738,226.75,2.25,4,1974-07-20,F,False,False,usa,las vegas,LSV,36.236,-115.034,2022-10-03,51,1098,1.0,0.0,Ryanair,JFK,2.2222222222222223,1.5,3.0,1.0,1.0,1.6,1.75,0.8,6.351151171875,0.0,1.8,,True,
348817,8,15.625,3,4,0,4,0.05,,458.20666666666665,259.0,2.25,3,1995-08-07,F,False,False,canada,calgary,YYC,51.114,-114.02,2022-10-04,30,1097,0.875,0.0,Allegiant Air,LGA,1.9333333333333333,1.3333333333333333,3.3333333333333335,1.0,0.6666666666666666,1.0,1.0,1.0,5.631003862847222,0.0,1.75,,True,
348863,8,10.125,0,0,0,0,,0.1,,,,0,1957-01-13,F,True,False,usa,san antonio,SKF,29.384,-98.581,2022-10-04,68,1097,0.0,,,,1.24375,1.3333333333333333,,,,,,,,,,,,True
349132,9,14.777777777777779,2,3,0,3,,0.1,360.53,193.66666666666666,4.666666666666667,2,1975-06-17,F,False,False,usa,cincinnati,CVG,39.046,-84.662,2022-10-04,50,1097,0.5555555555555556,0.0,Delta Air Lines,LGA,1.8388888888888888,1.2857142857142858,4.5,1.0,0.5,2.0,1.6666666666666667,1.0,7.411261689814815,0.2,1.6666666666666667,,True,
350648,8,36.875,1,1,1,2,0.175,0.1,212.18,185.0,3.0,1,2006-03-02,F,False,False,usa,lincoln,LNK,40.851,-96.759,2022-10-05,19,1096,0.25,0.5,American Airlines,SKF,13.4531160375,1.1428571428571428,4.0,1.0,0.0,1.0,1.0,0.5,7.796515972222222,0.0,1.0,True,,
353271,8,10.5,1,1,0,1,0.15,0.15,408.4,136.0,0.0,1,1997-09-05,F,False,True,usa,milwaukee,MKE,42.947,-87.896,2022-10-07,28,1094,0.25,0.0,KLM Royal Dutch Airlines,JFK,1.3145833333333334,1.1428571428571428,1.0,1.0,0.0,2.0,2.0,1.0,5.6331541666666665,0.0,2.0,,,True
353694,8,12.5,2,2,0,2,0.08333333333333333,,230.685,124.0,4.5,2,1984-06-17,F,False,True,usa,new york,LGA,40.777,-73.872,2022-10-07,41,1094,0.5,0.0,Southwest Airlines,MDW,1.5416666666666667,1.1428571428571428,6.0,0.5,0.5,1.5,1.5,1.0,8.12476484375,0.0,2.0,,True,True
354050,8,21.5,5,5,0,5,0.05,0.05,391.576,210.4,2.2,5,1974-05-28,F,False,False,usa,detroit,DET,42.409,-83.01,2022-10-07,51,1094,1.25,0.0,AirTran Airways,AUS,2.652083333333333,1.1428571428571428,3.5,0.8,0.2,1.2,1.2,1.0,8.569348923611111,0.2,2.0,,True,
354260,8,14.5,2,1,0,2,0.15,,582.505,260.0,2.0,2,1974-09-27,F,False,False,usa,providence,PVD,41.724,-71.428,2022-10-07,51,1094,0.375,0.0,JetBlue Airways,FAT,1.7979166666666666,2.0,2.5,1.0,1.0,1.0,1.0,0.5,8.867305381944444,0.0,1.5,,True,
354311,8,12.25,2,1,0,2,0.1,,536.445,97.0,3.0,1,1978-07-12,F,True,False,usa,tucson,DMA,32.166,-110.883,2022-10-08,47,1093,0.375,0.0,American Airlines,JFK,1.5333333333333332,2.0,2.5,1.0,0.5,1.0,1.0,0.5,6.6880487847222225,0.0,1.5,,True,True
354950,8,12.5,1,1,0,1,,0.1,460.54,127.0,6.0,1,1970-10-19,M,True,False,usa,amarillo,AMA,35.219,-101.706,2022-10-08,54,1093,0.25,0.0,Air Canada,YOW,1.56875,1.3333333333333333,7.0,1.0,1.0,1.0,1.0,1.0,4.766478819444444,0.0,2.0,,,True
356046,8,12.625,2,2,0,2,0.15,0.05,391.905,97.5,2.0,2,1989-10-17,F,False,False,canada,ottawa,YOW,45.323,-75.669,2022-10-09,35,1092,0.5,0.0,Delta Air Lines,LUF,1.5666666666666667,1.3333333333333333,3.0,1.0,0.0,1.5,1.5,1.0,8.676232378472223,0.0,2.0,,True,
357737,8,52.375,4,5,1,6,,0.08333333333333333,517.075,155.4,3.2,4,1982-10-04,F,True,True,usa,san diego,SAN,32.733,-117.189,2022-10-10,43,1091,1.125,0.1111111111111111,AirTran Airways,SJI,18.352083333333333,1.3333333333333333,4.0,1.0,0.25,1.0,1.0,0.8333333333333334,7.6182112152777774,0.2222222222222222,1.5,,True,True
